"stop_i","sum(number_of_transfers)"
"1er Août",39456.1252799726
"Avenir",24502.9610151414
"Avenue du Léman",1167.47974634659
"Batelière",68558.1116959127
"Beaulieu-Jomini",188986.613236094
"Beauregard",71521.6643842325
"Bel-Air",1908167.69594268
"Bellevaux",81964.8440154002
"Belmont-s-L., Centre",1034.70045590801
"Belmont-s-L., Grands-Champs",18278.9100139624
"Benj. Constant",15386.3700750031
"Bergières",186698.375846487
"Bessières",770527.39128516
"Béthusy",115989.57769945
"Blécherette",179689.564301406
"Boisy",6494.7685440348
"Bonne-Espérance",13033.802212238
"Boston",314620.731341934
"Bourdonnette",45335.7405135982
"Bourg-Dessus",71853.4676441575
"Bré",30702.4765553763
"Casernes",185381.418692126
"Cécil",582940.79627708
"Censuy",111439.541899967
"Chalet-à-Gobet",16183.2256232864
"Châtaignier",14483.1211626815
"Chauderon",969788.627146705
"Chauderon-Ale",87833.3910305063
"Concorde",1718.59273864182
"Coudraie",85042.2883126482
"Crissier, centre",114.582969982084
"Crissier, Timonet",11830.4970424422
"Croisettes",306503.45260675
"Croix Blanche",33145.5447810306
"Croix-Péage",18083.1821999006
"Délices",834787.326301782
"Druey",10481.8984723375
"En Marin",2617.77307066533
"Epalinges, centre",3695.96764900532
"Epalinges, Croisettes",358618.699170881
"Forêt",58136.3468722041
"Foyer",10671.5050603599
"Galicien",95600.7168605177
"Georgette",872189.324657966
"Grand-Mont",153.513568130848
"Joliette",1039.56020012071
"Jordils",18377.8325870178
"Jura",742.05744270736
"Lausanne-Flon",473153.117658528
"Lausanne-Gare",2035543.41919353
"Les Champs",1230.26121609338
"Lion d'Or",808.010459794182
"Longemalle",8922.58995255813
"Lutry, Landar",5456.39915762247
"Mézières VD, village",27375.6948561269
"Mirabeau",28038.0210325568
"Mont-Blanc",19736.3597680247
"Montbenon",3827.32635098586
"Montchoisi",264083.235586392
"Montoie",153082.84050675
"Motte",147396.000071067
"Musée Olympique",64057.6119532857
"Ouchy-Olympique",360050.231258911
"Ours",1057281.73261134
"Perrelet",151353.389084168
"Planches",3799.3548333284
"Planta",4885.20997616645
"Pont Bessières",21691.5372207423
"Pont Chauderon",25000.9265524278
"Pont de Chailly",162648.412651846
"Préau",7734.50146197177
"Prélaz-les-Roses",245943.217474447
"Prilly, Eglise",100506.022874268
"Provence",309.902807826178
"Pully, Clergère",206897.888417646
"Pully, gare",66260.2197797222
"Pully, port",311.520851508856
"Pully, Val-Vert",256762.741709508
"Renens-14 Avril",146104.425103103
"Renens-Gare nord",34940.7515504822
"Renens-Gare sud",330691.521935288
"Riponne-M. Béjart",6292.56038383533
"Rouvraie",22293.418637021
"Sallaz",317210.093217172
"Somais",2188.15847145293
"St-François",2132596.93697884
"St-Roch",87289.5641828255
"Théâtre de Vidy",6713.30055105242
"Tivoli",26266.1878966803
"Tunnel",146065.246594602
"UNIL-Sorge",48219.0750519728
"Valentin",120242.48435105
"Vallée de la Jeunesse",21283.4241937857
"Vieux-Moulin",52535.7005555298
"Vigie",38980.6491310285
"Voisinand",11224.8341088491
"Vulliette",1075.42286202816
"Zinguerie",3182.11024273759
