"""Renens-Gare""","""Epenex""","""Crochy""","""Cerisaie""","""Bassenges""","""EPFL""","""UNIL-Sorge""","""UNIL-Mouline""","""UNIL-Chamberonne""","""Bourdonnette""","""Malley""","""Provence""","""Montelly""","""Vigie""","""Lausanne-Flon"""
0,37440.28,107877.868595973,106156.626741092,47492.4282434793,468075.834926883,119406.444717457,51918.4302576694,56184.5742762938,29318.3196176307,59022.3005139475,22324.7266626384,33838.8090500915,75986.5197729067,387379.548879105
0,0,11443.4214040274,11260.8362627004,5037.88104978333,49652.3438757508,12666.3446640396,5507.38055735278,5959.92271832399,3110.01589676417,6260.94180212102,2368.15259937231,3589.53839939946,8060.46483958151,41092.2785073557
0,0,0,14200.5569962074,6353.05543199554,62614.438462122,15972.9832793224,6945.12109758159,7515.80258163306,3921.90748278581,7895.40482046189,2986.37553895475,4526.61271699578,10164.7060395987,51819.7076517829
0,0,0,0,10404.7652747418,102547.27697276,26159.8759113176,11374.4253609157,12309.0633397208,6423.13406902263,12930.759818692,4890.95945056073,7413.49470568186,16647.3253005372,84868.123770358
0,0,0,0,0,35344.6657624839,9016.44683085228,3920.38944855335,4242.52834823924,2213.84256626856,4456.80662947324,1685.75248549847,2555.1872291438,5737.78422944497,29251.2444708719
0,0,0,0,0,0,166435.404597011,72366.8221294388,78313.2131093309,40865.5194383444,82268.5952130105,31117.4570468613,47166.4313317384,105914.276170334,539951.357758458
0,0,0,0,0,0,0,47404.1811484883,51299.3887435703,26769.1247063106,53890.3778769461,20383.6167918399,30896.5626676026,69379.5773539581,353697.332857479
0,0,0,0,0,0,0,0,47694.4768828879,24888.0041409908,50103.3919665223,18951.2187899101,28725.3986841192,64504.1340510638,328842.305506506
0,0,0,0,0,0,0,0,0,23545.6320818824,47400.9899152609,17929.0562072655,27176.0509597349,61025.0062448883,311105.699539068
0,0,0,0,0,0,0,0,0,0,59002.0314435646,22317.0600442236,33827.1883373043,75960.4249561338,387246.517410105
0,0,0,0,0,0,0,0,0,0,0,30745.5043828749,46602.6423383719,104648.263426541,533497.220274186
0,0,0,0,0,0,0,0,0,0,0,0,22645.1435798164,50850.6563526172,259236.827491957
0,0,0,0,0,0,0,0,0,0,0,0,0,44676.2612623943,227759.73929526
0,0,0,0,0,0,0,0,0,0,0,0,0,0,157821.096587506
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
